0,1,2,3,4
AlShAz00,Azeez Al-Shaair,FloridaAtlantic,Pronunciation: \uh-ZEEZ al-SHY-er\,"<img src=""Azeez Al-Shaair.jpg""/>"
AlexJa00,Jaire Alexander,Louisville,Draft: Green Bay Packers in the 1st round (18th overall) of the 2018 NFL Draft.,"<img src=""Jaire Alexander.jpg""/>"
AlexKw00,Kwon Alexander,LSU,Draft: Tampa Bay Buccaneers in the 4th round (124th overall) of the 2015 NFL Draft.,"<img src=""Kwon Alexander.jpg""/>"
AlexMa01,Mackensie Alexander,,Twitter:,"<img src=""Mackensie Alexander.jpg""/>"
AlexMa02,Maurice Alexander,,"More bio, uniform, draft, salary info","<img src=""Maurice Alexander.jpg""/>"
AlfoDe00,,WeightedCareerAV(100-95-...):1(14893rdoverallsince1960),"<img src="".jpg""/>",
AlixJo00,Josh Ali,Kentucky,,"<img src=""Josh Ali.jpg""/>"
AlieMo00,Mo Alie-Cox,VirginiaCommonwealth,"<img src=""Mo Alie-Cox.jpg""/>",
AlleNi00,Nick Allegretti,Illinois,Draft: Kansas City Chiefs in the 7th round (216th overall) of the 2019 NFL Draft.,"<img src=""Nick Allegretti.jpg""/>"
AlleBr00,Brandon Allen,College:,	,"<img src=""Brandon Allen.jpg""/>"
AlleBr02,Brian Allen,MichiganSt.,Draft: Los Angeles Rams in the 4th round (111th overall) of the 2018 NFL Draft.,"<img src=""Brian Allen.jpg""/>"
AlleCh03,Chase Allen,,"More bio, uniform, draft, salary info","<img src=""Chase Allen.jpg""/>"
AlleDa01,Dakota Allen,,,"<img src=""Dakota Allen.jpg""/>"
AlleJo01,Jonathan Allen,Alabama,Draft: Washington Redskins in the 1st round (17th overall) of the 2017 NFL Draft.,"<img src=""Jonathan Allen.jpg""/>"
AlleJo02,Josh Allen,College:,	,"<img src=""Josh Allen.jpg""/>"
AlleJo03,Josh Allen,Kentucky,Draft: Jacksonville Jaguars in the 1st round (7th overall) of the 2019 NFL Draft.,"<img src=""Josh Allen.jpg""/>"
AlleKe00,Keenan Allen,College:,	,"<img src=""Keenan Allen.jpg""/>"
AlleKy00,Kyle Allen,College:,  ,"<img src=""Kyle Allen.jpg""/>"
AlleMa03,Marcus Allen,,,"<img src=""Marcus Allen.jpg""/>"
AlleZa01,Zach Allen,BostonCol.,Draft: Arizona Cardinals in the 3rd round (65th overall) of the 2019 NFL Draft.,"<img src=""Zach Allen.jpg""/>"
AllgTy00,Tyler Allgeier,,Pronunciation: \Al-jeer\,"<img src=""Tyler Allgeier.jpg""/>"
AluaTy99,Tyson Alualu,,Pronunciation: \AH-lu-AH-lu\,"<img src=""Tyson Alualu.jpg""/>"
AmadUg00,Ugo Amadi,Oregon,Draft: Seattle Seahawks in the 4th round (132nd overall) of the 2019 NFL Draft.,"<img src=""Ugo Amadi.jpg""/>"
AmmeMa00,Matt Ammendola,,"More bio, uniform, draft, salary info","<img src=""Matt Ammendola.jpg""/>"
AmosAd00,Adrian Amos,PennSt.,Draft: Chicago Bears in the 5th round (142nd overall) of the 2015 NFL Draft.,"<img src=""Adrian Amos.jpg""/>"
AnchTr00,Tremayne Anchrum,Clemson,Draft: Los Angeles Rams in the 7th round (250th overall) of the 2020 NFL Draft.,"<img src=""Tremayne Anchrum.jpg""/>"
AndeTr00,Troy Andersen,MontanaSt.,troy_andersen,"<img src=""Troy Andersen.jpg""/>"
AndeAb00,Abdullah Anderson,Bucknell,"<img src=""Abdullah Anderson.jpg""/>",
AndeCa00,Calvin Anderson,"Rice,",	,"<img src=""Calvin Anderson.jpg""/>"
AndeRo04,Robbie Chosen,Temple,"Note: formerly known as Robby Anderson, Robbie Anderson","<img src=""Robbie Chosen.jpg""/>"
AndeHe00,Henry Anderson,Stanford,Draft: Indianapolis Colts in the 3rd round (93rd overall) of the 2015 NFL Draft.,"<img src=""Henry Anderson.jpg""/>"
AndeJa01,Jack Anderson,,"More bio, uniform, draft, salary info","<img src=""Jack Anderson.jpg""/>"
AndeRy00,Ryan Anderson,,,"<img src=""Ryan Anderson.jpg""/>"
AndeRy01,Ryder Anderson,"Mississippi,",	,"<img src=""Ryder Anderson.jpg""/>"
AndeSt01,Stephen Anderson,,"More bio, uniform, draft, salary info","<img src=""Stephen Anderson.jpg""/>"
AndeZa02,Zayne Anderson,,"More bio, uniform, draft, salary info","<img src=""Zayne Anderson.jpg""/>"
AndrDa00,David Andrews,Georgia,,"<img src=""David Andrews.jpg""/>"
AndrJo01,Josh Andrews,OregonSt.,"<img src=""Josh Andrews.jpg""/>",
AndrMa00,Mark Andrews,Oklahoma,Draft: Baltimore Ravens in the 3rd round (86th overall) of the 2018 NFL Draft.,"<img src=""Mark Andrews.jpg""/>"
AngeBr00,Bryan Anger,College:,	,"<img src=""Bryan Anger.jpg""/>"
AnkoEl00,Eli Ankou,UCLA,Pronunciation: \ee-LEE AHN-koo\,"<img src=""Eli Ankou.jpg""/>"
AnzaAl00,Alex Anzalone,Florida,Draft: New Orleans Saints in the 3rd round (76th overall) of the 2017 NFL Draft.,"<img src=""Alex Anzalone.jpg""/>"
ApkeTr00,Troy Apke,PennSt.,Draft: Washington Redskins in the 4th round (109th overall) of the 2018 NFL Draft.,"<img src=""Troy Apke.jpg""/>"
ApplEl00,Eli Apple,OhioSt.,Draft: New York Giants in the 1st round (10th overall) of the 2016 NFL Draft.,"<img src=""Eli Apple.jpg""/>"
ArcuAJ00,AJ Arcuri,MichiganSt.,Draft: Los Angeles Rams in the 7th round (261st overall) of the 2022 NFL Draft.,"<img src=""AJ Arcuri.jpg""/>"
ArmaAl00,Alex Armah,WestGeorgia,"<img src=""Alex Armah.jpg""/>",
ArmoJa00,Jalyn Armour-Davis,,Twitter:,"<img src=""Jalyn Armour-Davis.jpg""/>"
ArmsAr01,Arik Armstead,Oregon,Draft: San Francisco 49ers in the 1st round (17th overall) of the 2015 NFL Draft.,"<img src=""Arik Armstead.jpg""/>"
ArmsTe00,Terron Armstead,Ark-PineBluff,"<img src=""Terron Armstead.jpg""/>",
ArmsCo00,Cornell Armstrong,SouthernMiss,Draft: Miami Dolphins in the 6th round (209th overall) of the 2018 NFL Draft.,"<img src=""Cornell Armstrong.jpg""/>"
ArmsDo00,Dorance Armstrong Jr.,Kansas,Draft: Dallas Cowboys in the 4th round (116th overall) of the 2018 NFL Draft.,"<img src=""Dorance Armstrong Jr..jpg""/>"
ArnoDa00,Dan Arnold,Wisconsin–Platteville,"<img src=""Dan Arnold.jpg""/>",
ArnoGr01,Grayland Arnold,Baylor,"<img src=""Grayland Arnold.jpg""/>",
AsamBr00,Brian Asamoah,,Pronunciation: \ah-suh-MO-uh\,"<img src=""Brian Asamoah.jpg""/>"
AsiaDe00,Devin Asiasi,"Michigan,",@ASI2X,"<img src=""Devin Asiasi.jpg""/>"
AttaJe00,Jeremiah Attaochu,,Pronunciation: \uh-TAU-choo\,"<img src=""Jeremiah Attaochu.jpg""/>"
AtweTu00,Tutu Atwell,Louisville,Draft: Los Angeles Rams in the 2nd round (57th overall) of the 2021 NFL Draft.,"<img src=""Tutu Atwell.jpg""/>"
AutrDe00,Denico Autry,"EastMississippiCC,",	,"<img src=""Denico Autry.jpg""/>"
AverAn00,Anthony Averett,,,"<img src=""Anthony Averett.jpg""/>"
AverGe00,Genard Avery,Memphis,Draft: Cleveland Browns in the 5th round (150th overall) of the 2018 NFL Draft.,"<img src=""Genard Avery.jpg""/>"
AverTr01,Tre Avery,"Toledo,",	,"<img src=""Tre Avery.jpg""/>"
AwosKa00,Kayode Awosika,,"More bio, uniform, draft, salary info","<img src=""Kayode Awosika.jpg""/>"
AwuzCh00,Chidobe Awuzie,Colorado,Draft: Dallas Cowboys in the 2nd round (60th overall) of the 2017 NFL Draft.,"<img src=""Chidobe Awuzie.jpg""/>"
BaccAn00,Andre Baccellia,Washington,Pronunciation: \buh-CHEL-ee\,"<img src=""Andre Baccellia.jpg""/>"
BachJo01,Joe Bachie,MichiganSt.,"<img src=""Joe Bachie.jpg""/>",
BadaDa00,David Bada,None,"<img src=""David Bada.jpg""/>",
BadgMi00,Michael Badgley,Miami(FL),	,"<img src=""Michael Badgley.jpg""/>"
BadiTy00,Tyler Badie,,Pronunciation: \BAY-dee\,"<img src=""Tyler Badie.jpg""/>"
BailJa00,Jake Bailey,Stanford,Draft: New England Patriots in the 5th round (163rd overall) of the 2019 NFL Draft.,"<img src=""Jake Bailey.jpg""/>"
BailMa01,Markus Bailey,Purdue,Draft: Cincinnati Bengals in the 7th round (215th overall) of the 2020 NFL Draft.,"<img src=""Markus Bailey.jpg""/>"
BailQu00,Quinn Bailey,ArizonaSt.,"<img src=""Quinn Bailey.jpg""/>",
BailZa01,Zack Bailey,,"More bio, uniform, draft, salary info","<img src=""Zack Bailey.jpg""/>"
BakeBu00,Budda Baker,Washington,Draft: Arizona Cardinals in the 2nd round (36th overall) of the 2017 NFL Draft.,"<img src=""Budda Baker.jpg""/>"
BakeDa02,Darrell Baker,GeorgiaSouthern,,"<img src=""Darrell Baker.jpg""/>"
BakeJe00,Jerome Baker,OhioSt.,Draft: Miami Dolphins in the 3rd round (73rd overall) of the 2018 NFL Draft.,"<img src=""Jerome Baker.jpg""/>"
BakhDa00,David Bakhtiari,Colorado,Draft: Green Bay Packers in the 4th round (109th overall) of the 2013 NFL Draft.,"<img src=""David Bakhtiari.jpg""/>"
BaldDa01,Daylen Baldwin,,"		Farmington (MI), ","<img src=""Daylen Baldwin.jpg""/>"
BallJo00,Josh Ball,"Butler(KS),",	,"<img src=""Josh Ball.jpg""/>"
BallCo00,Corey Ballentine,Washburn,"<img src=""Corey Ballentine.jpg""/>",
BandMi00,Michael Bandy,,"<img src=""Michael Bandy.jpg""/>",
BanjCh00,Chris Banjo,,,"<img src=""Chris Banjo.jpg""/>"
BankAa00,Aaron Banks,,@bigaaronbanks,"<img src=""Aaron Banks.jpg""/>"
BankEr00,Eric Banks,Texas-SanAntonio,,"<img src=""Eric Banks.jpg""/>"
BanoBe00,Ben Banogu,TCU,Draft: Indianapolis Colts in the 2nd round (49th overall) of the 2019 NFL Draft.,"<img src=""Ben Banogu.jpg""/>"
BarkSa00,Saquon Barkley,PennSt.,Draft: New York Giants in the 1st round (2nd overall) of the 2018 NFL Draft.,"<img src=""Saquon Barkley.jpg""/>"
BarmCh00,Christian Barmore,Alabama,Draft: New England Patriots in the 2nd round (38th overall) of the 2021 NFL Draft.,"<img src=""Christian Barmore.jpg""/>"
BarnDe02,Derrick Barnes,Purdue,Draft: Detroit Lions in the 4th round (113th overall) of the 2021 NFL Draft.,"<img src=""Derrick Barnes.jpg""/>"
BarnKa00,Kalon Barnes,,Pronunciation: \KAY-lun\,"<img src=""Kalon Barnes.jpg""/>"
BarnKr00,Krys Barnes,UCLA,,"<img src=""Krys Barnes.jpg""/>"
BarnDe01,Derek Barnett,Tennessee,Draft: Philadelphia Eagles in the 1st round (14th overall) of the 2017 NFL Draft.,"<img src=""Derek Barnett.jpg""/>"
BarnAm00,Amare Barno,,,"<img src=""Amare Barno.jpg""/>"
BarrAn00,Anthony Barr,,Twitter:,"<img src=""Anthony Barr.jpg""/>"
BarrSh00,Shaquil Barrett,ColoradoSt.,,"<img src=""Shaquil Barrett.jpg""/>"
BarsAl01,Alex Bars,NotreDame,,"<img src=""Alex Bars.jpg""/>"
BartBe00,Ben Bartch,SaintJohn's(MN),"<img src=""Ben Bartch.jpg""/>",
BartCo00,Cody Barton,Utah,Draft: Seattle Seahawks in the 3rd round (88th overall) of the 2019 NFL Draft.,"<img src=""Cody Barton.jpg""/>"
BartJa00,Jackson Barton,,,"<img src=""Jackson Barton.jpg""/>"
BashCa00,Boogie Basham,,Relatives: Cousin Tarell Basham ,"<img src=""Boogie Basham.jpg""/>"
BashTa00,Tarell Basham,Ohio,Draft: Indianapolis Colts in the 3rd round (80th overall) of the 2017 NFL Draft.,"<img src=""Tarell Basham.jpg""/>"
BassTy00,Tyler Bass,GeorgiaSouthern,Draft: Buffalo Bills in the 6th round (188th overall) of the 2020 NFL Draft.,"<img src=""Tyler Bass.jpg""/>"
BassEs01,Essang Bassey,WakeForest,Pronunciation: \EE-sang BAS-ee\,"<img src=""Essang Bassey.jpg""/>"
BateRa00,Rashod Bateman,,"More bio, uniform, draft, salary info","<img src=""Rashod Bateman.jpg""/>"
BateJe00,Jessie Bates III,WakeForest,Draft: Cincinnati Bengals in the 2nd round (54th overall) of the 2018 NFL Draft.,"<img src=""Jessie Bates III.jpg""/>"
BateJo00,John Bates,BoiseSt.,	,"<img src=""John Bates.jpg""/>"
BateRy02,Ryan Bates,PennSt.,,"<img src=""Ryan Bates.jpg""/>"
BaunZa00,Zack Baun,Wisconsin,Draft: New Orleans Saints in the 3rd round (74th overall) of the 2020 NFL Draft.,"<img src=""Zack Baun.jpg""/>"
BeacKe00,Kelvin Beachum,SMU,"<img src=""Kelvin Beachum.jpg""/>",
BeasCo00,Cole Beasley,College:,	,"<img src=""Cole Beasley.jpg""/>"
BeatC,C.J. Beathard,College:,	,"<img src=""C.J. Beathard.jpg""/>"
BeckAn01,Andrew Beck,College:,	,"<img src=""Andrew Beck.jpg""/>"
BellBl00,Blake Bell,Oklahoma,Draft: San Francisco 49ers in the 4th round (117th overall) of the 2015 NFL Draft.,"<img src=""Blake Bell.jpg""/>"
BellDA03,,,"<img src="".jpg""/>",
BellDa02,David Bell,Purdue,Draft: Cleveland Browns in the 3rd round (99th overall) of the 2022 NFL Draft.,"<img src=""David Bell.jpg""/>"
BellMa01,Markquese Bell,WeightedCareerAV(100-95-...):0(17337thoverallsince1960),"<img src=""Markquese Bell.jpg""/>",
BellQu00,Quinton Bell,PrairieViewA&M,Draft: Oakland Raiders in the 7th round (230th overall) of the 2019 NFL Draft.,"<img src=""Quinton Bell.jpg""/>"
BellVo00,Vonn Bell,OhioSt.,Draft: New Orleans Saints in the 2nd round (61st overall) of the 2016 NFL Draft.,"<img src=""Vonn Bell.jpg""/>"
BellDa00,Daniel Bellinger,SanDiegoSt.,Draft: New York Giants in the 4th round (112th overall) of the 2022 NFL Draft.,"<img src=""Daniel Bellinger.jpg""/>"
BellNi01,Nick Bellore,CentralMichigan,Pronunciation: \buh-LOR\,"<img src=""Nick Bellore.jpg""/>"
BeltDa00,Dane Belton,,Twitter:,"<img src=""Dane Belton.jpg""/>"
BenfCh00,Christian Benford,Villanova,thetruecb_,"<img src=""Christian Benford.jpg""/>"
BenjEn00,Eno Benjamin,(CollegeStats),,"<img src=""Eno Benjamin.jpg""/>"
BensTr00,Trinity Benson,EastCentral(OK),"<img src=""Trinity Benson.jpg""/>",
BentJa00,Ja'Whaun Bentley,Purdue,Draft: New England Patriots in the 5th round (143rd overall) of the 2018 NFL Draft.,"<img src=""Ja'Whaun Bentley.jpg""/>"
BernGi00,Giovani Bernard,,Pronunciation: \jee-o-VAHN-ee\,"<img src=""Giovani Bernard.jpg""/>"
BernTe00,Terrel Bernard,,Pronunciation: \TUH-rell\,"<img src=""Terrel Bernard.jpg""/>"
BernJa00,Jared Bernhardt,,"<img src=""Jared Bernhardt.jpg""/>",
BerrBr00,Braxton Berrios,College:,	,"<img src=""Braxton Berrios.jpg""/>"
BerrSt00,,,,"<img src="".jpg""/>"
BertTa01,,,,"<img src="".jpg""/>"
BethJu00,Justin Bethel,Presbyterian,"<img src=""Justin Bethel.jpg""/>",
BiadTy00,Tyler Biadasz,Wisconsin,Draft: Dallas Cowboys in the 4th round (146th overall) of the 2020 NFL Draft.,"<img src=""Tyler Biadasz.jpg""/>"
BillAn00,Andrew Billings,Baylor,Draft: Cincinnati Bengals in the 4th round (122nd overall) of the 2016 NFL Draft.,"<img src=""Andrew Billings.jpg""/>"
BitoJo00,Joel Bitonio,Nevada,Draft: Cleveland Browns in the 2nd round (35th overall) of the 2014 NFL Draft.,"<img src=""Joel Bitonio.jpg""/>"
BlacRo00,Ross Blacklock,TCU,Draft: Houston Texans in the 2nd round (40th overall) of the 2020 NFL Draft.,"<img src=""Ross Blacklock.jpg""/>"
BlacJu01,Julian Blackmon,Utah,Draft: Indianapolis Colts in the 3rd round (85th overall) of the 2020 NFL Draft.,"<img src=""Julian Blackmon.jpg""/>"
BlacRa00,Raheem Blackshear,"Rutgers,",	,"<img src=""Raheem Blackshear.jpg""/>"
BlacAn00,Angelo Blackson,Auburn,Draft: Tennessee Titans in the 4th round (100th overall) of the 2015 NFL Draft.,"<img src=""Angelo Blackson.jpg""/>"
BlacJo00,Josh Blackwell,Duke,,"<img src=""Josh Blackwell.jpg""/>"
BlaiMa01,Marquise Blair,,,"<img src=""Marquise Blair.jpg""/>"
BlanDa00,DaRon Bland,"SacramentoSt.,",	,"<img src=""DaRon Bland.jpg""/>"
BlanRe00,Reed Blankenship,MiddleTenn.St.,,"<img src=""Reed Blankenship.jpg""/>"
BlanRo03,Rodrigo Blankenship,,@RodTheKicker3,"<img src=""Rodrigo Blankenship.jpg""/>"
BlanKe01,Kendall Blanton,Missouri,,"<img src=""Kendall Blanton.jpg""/>"
BlasKh00,Khari Blasingame,Vanderbilt,,"<img src=""Khari Blasingame.jpg""/>"
BledJo00,Joshuah Bledsoe,Missouri,Draft: New England Patriots in the 6th round (188th overall) of the 2021 NFL Draft.,"<img src=""Joshuah Bledsoe.jpg""/>"
BlouDa00,David Blough,College:,	,"<img src=""David Blough.jpg""/>"
BlouJo00,Joey Blount,Virginia,,"<img src=""Joey Blount.jpg""/>"
BlytAu00,Austin Blythe,,Twitter:,"<img src=""Austin Blythe.jpg""/>"
BoarC,C.J. Board,WeightedCareerAV(100-95-...):1(14893rdoverallsince1960),"<img src=""C.J. Board.jpg""/>",
BoarCh00,Chris Board,NorthDakotaSt.,"<img src=""Chris Board.jpg""/>",
BobeJa00,Jacob Bobenmoyer,NorthernColorado,"<img src=""Jacob Bobenmoyer.jpg""/>",
BoetIk00,Ike Boettger,Iowa,,"<img src=""Ike Boettger.jpg""/>"
BohaQu00,Quinton Bohanna,Kentucky,Draft: Dallas Cowboys in the 6th round (192nd overall) of the 2021 NFL Draft.,"<img src=""Quinton Bohanna.jpg""/>"
BojoCo00,Corey Bojorquez,College:,  ,"<img src=""Corey Bojorquez.jpg""/>"
BoldBr00,Brandon Bolden,Mississippi,,"<img src=""Brandon Bolden.jpg""/>"
BollGa00,Garett Bolles,"SnowCollege(UT),",	,"<img src=""Garett Bolles.jpg""/>"
BoltCu00,Curtis Bolton,HighSchool:,"<img src=""Curtis Bolton.jpg""/>",
BoltNi00,Nick Bolton,Missouri,Draft: Kansas City Chiefs in the 2nd round (58th overall) of the 2021 NFL Draft.,"<img src=""Nick Bolton.jpg""/>"
BoniNi00,Nik Bonitto,,,"<img src=""Nik Bonitto.jpg""/>"
BonnRe00,Reggie Bonnafon,,"More bio, uniform, draft, salary info","<img src=""Reggie Bonnafon.jpg""/>"
BookTh00,Thomas Booker,,Twitter:,"<img src=""Thomas Booker.jpg""/>"
BoonMi00,Mike Boone,Cincinnati,,"<img src=""Mike Boone.jpg""/>"
BootAn00,Andrew Booth,,Twitter:,"<img src=""Andrew Booth.jpg""/>"
BootDi00,Dicaprio Bootle,,,"<img src=""Dicaprio Bootle.jpg""/>"
BordBr00,Breon Borders,Duke,,"<img src=""Breon Borders.jpg""/>"
BoroLa00,Larry Borom,Missouri,Draft: Chicago Bears in the 5th round (151st overall) of the 2021 NFL Draft.,"<img src=""Larry Borom.jpg""/>"
BosaJo00,Joey Bosa,OhioSt.,Draft: San Diego Chargers in the 1st round (3rd overall) of the 2016 NFL Draft.,"<img src=""Joey Bosa.jpg""/>"
BosaNi00,Nick Bosa,OhioSt.,Draft: San Francisco 49ers in the 1st round (2nd overall) of the 2019 NFL Draft.,"<img src=""Nick Bosa.jpg""/>"
BostJo00,Jonathan Bostic,,,"<img src=""Jonathan Bostic.jpg""/>"
BoswCh00,Chris Boswell,College:,	,"<img src=""Chris Boswell.jpg""/>"
BourKe00,Kendrick Bourne,College:,"<img src=""Kendrick Bourne.jpg""/>",
BowdLy00,Lynn Bowden Jr.,College:,"More bio, uniform, draft, salary info","<img src=""Lynn Bowden Jr..jpg""/>"
BoweTa00,Tashawn Bower,LSU,Pronunciation: \tuh-SHAWN\,"<img src=""Tashawn Bower.jpg""/>"
BowsTy00,Tyus Bowser,Houston,Draft: Baltimore Ravens in the 2nd round (47th overall) of the 2017 NFL Draft.,"<img src=""Tyus Bowser.jpg""/>"
BoydKr00,Kris Boyd,Texas,Draft: Minnesota Vikings in the 7th round (217th overall) of the 2019 NFL Draft.,"<img src=""Kris Boyd.jpg""/>"
BoydTy00,Tyler Boyd,College:,	,"<img src=""Tyler Boyd.jpg""/>"
BoykMi00,Miles Boykin,NotreDame,Draft: Baltimore Ravens in the 3rd round (93rd overall) of the 2019 NFL Draft.,"<img src=""Miles Boykin.jpg""/>"
BoylNi00,Nick Boyle,WeightedCareerAV(100-95-...):9(8593rdoverallsince1960),"<img src=""Nick Boyle.jpg""/>",
BoylTi00,Tim Boyle,College:,  ,"<img src=""Tim Boyle.jpg""/>"
BozeBr00,Bradley Bozeman,Alabama,Draft: Baltimore Ravens in the 6th round (215th overall) of the 2018 NFL Draft.,"<img src=""Bradley Bozeman.jpg""/>"
BradJa00,James Bradberry,"ArkansasSt.,",	,"<img src=""James Bradberry.jpg""/>"
BradGa00,Garrett Bradbury,NorthCarolinaSt.,Draft: Minnesota Vikings in the 1st round (18th overall) of the 2019 NFL Draft.,"<img src=""Garrett Bradbury.jpg""/>"
BradHu00,Hunter Bradley,,,"<img src=""Hunter Bradley.jpg""/>"
BradSh00,Shaun Bradley,Temple,Draft: Philadelphia Eagles in the 6th round (196th overall) of the 2020 NFL Draft.,"<img src=""Shaun Bradley.jpg""/>"
BradWi00,William Bradley-King,,"More bio, uniform, draft, salary info","<img src=""William Bradley-King.jpg""/>"
BradTo00,Tom Brady,,,"<img src=""Tom Brady.jpg""/>"
BranBl00,Blake Brandel,,,"<img src=""Blake Brandel.jpg""/>"
BratCa00,Cameron Brate,WeightedCareerAV(100-95-...):18(5929thoverallsince1960),"<img src=""Cameron Brate.jpg""/>",
BredBe00,Ben Bredeson,Michigan,Draft: Baltimore Ravens in the 4th round (143rd overall) of the 2020 NFL Draft.,"<img src=""Ben Bredeson.jpg""/>"
BreeBr00,Brady Breeze,,"More bio, uniform, draft, salary info","<img src=""Brady Breeze.jpg""/>"
BreiMa00,Matt Breida,GeorgiaSouthern,,"<img src=""Matt Breida.jpg""/>"
BrenJa01,Jake Brendel,UCLA,,"<img src=""Jake Brendel.jpg""/>"
BrewAa00,Aaron Brewer,SanDiegoSt.,,"<img src=""Aaron Brewer.jpg""/>"
BrewAa01,Aaron Brewer,TexasSt.,,"<img src=""Aaron Brewer.jpg""/>"
BrewCJ00,,,"More bio, uniform, draft, salary info","<img src="".jpg""/>"
BrewCh01,Chandler Brewer,MiddleTenn.St.,,"<img src=""Chandler Brewer.jpg""/>"
BridTe00,Teddy Bridgewater,College:,	,"<img src=""Teddy Bridgewater.jpg""/>"
BrigGa00,Gary Brightwell,Arizona,Draft: New York Giants in the 6th round (196th overall) of the 2021 NFL Draft.,"<img src=""Gary Brightwell.jpg""/>"
BrisJa01,Jaquan Brisker,"Lackawanna,",	,"<img src=""Jaquan Brisker.jpg""/>"
BrisJa00,Jacoby Brissett,College:,  ,"<img src=""Jacoby Brissett.jpg""/>"
BritJu00,Justin Britt,,Twitter:,"<img src=""Justin Britt.jpg""/>"
BritKJ00,K.J. Britt,Auburn,Draft: Tampa Bay Buccaneers in the 5th round (176th overall) of the 2021 NFL Draft.,"<img src=""K.J. Britt.jpg""/>"
BrocMi00,Michael Brockers,,,"<img src=""Michael Brockers.jpg""/>"
BronJo01,Josiah Bronson,(CollegeStats),,"<img src=""Josiah Bronson.jpg""/>"
BrooJo01,Jordyn Brooks,TexasTech,Draft: Seattle Seahawks in the 1st round (27th overall) of the 2020 NFL Draft.,"<img src=""Jordyn Brooks.jpg""/>"
BrowAJ00,A.J. Brown,College:,	,"<img src=""A.J. Brown.jpg""/>"
BrowAn05,Andrew Brown,Virginia,	,"<img src=""Andrew Brown.jpg""/>"
BrowAn02,Anthony Brown,,Twitter:,"<img src=""Anthony Brown.jpg""/>"
BrowAn06,Anthony Brown,College:,  ,"<img src=""Anthony Brown.jpg""/>"
BrowBo04,Bobby Brown,,"More bio, uniform, draft, salary info","<img src=""Bobby Brown.jpg""/>"
BrowBr06,Brittain Brown,"Duke,",	,"<img src=""Brittain Brown.jpg""/>"
BrowCa01,Cam Brown,PennSt.,Draft: New York Giants in the 6th round (183rd overall) of the 2020 NFL Draft.,"<img src=""Cam Brown.jpg""/>"
